tx_hash,chain,from_address,to_address,value_eth,gas_used,gas_price,timestamp,block_number,status
0x5ce187fad2f6db8f654b60890fa07466668eb10d3f5a6548e4cdf1200fa97140,Polygon,0xaf287a5325d37a64b6db16cff31a6d789516493b,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,0.1,21000,325169062365,1785667340,91308213,Success
0xe308e899be32405fa18b0daa756f241e8ae5e10435761a5acb42ccab690b7ef1,Polygon,0x036b7c0ff5459d1e630251a397bf2c89aecfa8a0,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,0.08,21000,422279860630,1779564844,87328649,Success
0xcdda64a4e391f766ec408a1330999553d13012bf8b2da96f690c442f4f51f872,Polygon,0xbd5ec858ba63b70b758ce295d3a6ee4d9de92c75,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,1.984e-05,21000,27580000043,1745817107,70845534,Success
