tx_hash,chain,from_address,to_address,value_eth,gas_used,gas_price,timestamp,block_number,status
0xd3bacd81e562df9b42f2f34a3999b730edbd0e567381d56a260ab1ccb6739491,Arbitrum,0xbdf103aeaa7446f943b085ed7562c78cefcc9838,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,0.0,23448,20022000,1776460234,453563758,Success
0x5155d0a76fa63d37a90139ad39fad9a52ff59813a6ef9e29969cf563e68334b3,Arbitrum,0xe673621b36984cb1f74a876b4ba26c4f6ca4e25f,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,0.0,94580,20000000,1776308004,452957021,Success
0x9a439a078376596761278db14a9fb3b1a71ad7a0805d68b0774e5f9e191985e3,Arbitrum,0xe673621b36984cb1f74a876b4ba26c4f6ca4e25f,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,0.0,25368,20000000,1776307663,452955657,Success
0x346315ce327a38d42107ae375820c97e6a7b8a8021e800aa686f0e55fe6a25bd,Arbitrum,0xe673621b36984cb1f74a876b4ba26c4f6ca4e25f,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,0.0,93136,20000000,1776307330,452954325,Success
0x787b60a5fffcbd935a44efebb8c69c017278dd006308989818d4ebc56d531a11,Arbitrum,0xe673621b36984cb1f74a876b4ba26c4f6ca4e25f,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,1e-06,28408,20188000,1776306601,452951409,Success
0xbb491e5db2555319da46e142dbae49685c812fa03c740979a7e07e407e26c53e,Arbitrum,0x4a64b4a30f159a200267599ca8c70fe72be84e33,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,0.00010511336908,420184,100000000,1708559057,183157498,Success
