tx_hash,chain,from_address,to_address,value_eth,gas_used,gas_price,timestamp,block_number,status
0x40ccca98bec88745605b4bd89733a42fbedb76ffa1fe57245e6f0ac6f3899b5e,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xe1ecb5282dece8520114c026dd8387c71ce379b6,0.00498,21422,20138000,1786638341,494165737,Success
0x63b49535d54bf0dd2136e1bdbffb10b0d8501136cbf4a5b1fe507f8d7f91d81a,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x88a291722110da365b2b9a3996d38cfe96256c6b,0.46370109,21475,20074000,1786638006,494164402,Success
0xd6f760bd65f3f5f44ea2314ed2fc021519013086318ef17dcef766aeda924d57,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x31a406efbd18897c85a028ca2ad9bbf06febaa2c,0.0536827,21299,20324000,1786637513,494162428,Success
0x2c759aab9c9ccd050fb1e97c9d8e361fd2cd3d56bc4c72a58b728e3e9da53a42,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x9bbf4d9b87acbf540eee1a88be3ae9b23b403bc4,0.1062405,21174,20016000,1786637340,494161736,Success
0x835bcd697a76a0c247842166380c40a0ae810c9f4b75ec6cf93483275f0e4f54,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x889c3acd6f37fba4325dd847661315da4a21f534,0.00968,21172,20000000,1786637079,494160693,Success
0x03f0859e663866fabeb630c1feffef508ee4b2f796478311943b7dc96d23e814,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x0e6ad69ed6a847a775ccf0cc47c5d9b0e4aadb68,0.00988,21172,20072000,1786637046,494160563,Success
0x3742949e6c732f9f40e16090858ca493e4e6da79d853aef9bed0bdde37572c1c,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x5c6796ce29b4b34454e7237259765871a40773cc,0.01078,21232,20052000,1786636982,494160305,Success
0x9b9c134eeabe55105186bb4217631b0291e8001190d5e5e9c845e5e8632b9c52,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xdd058093c235271ab07c8841dac04f49e36991de,0.01028,21233,20000000,1786636853,494159788,Success
0x4e70839054e8015d7b5749738ef46d6ed9fa7a515e7916f642166eb6032d4178,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x0ad26a3b031e0d7111c31e2606ada65a4294f2e6,0.01018,21233,20000000,1786636779,494159493,Success
0x3441cc57ee78c6087cd8eb96c35855e65d3186e3a3f9f7c30a53210c0f599a88,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xc5db5293b046a2f728bfe4677854895a7a425d9d,0.00918,21233,20000000,1786636705,494159198,Success
0x7998f9a8185a8e9956ab6c01e607cef2f7945638b6a317e230e0de53cd9e902b,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x2749d4c65eb9c5dcc0ae8df6f0c296f31fe7a234,0.01108,21305,20016000,1786636544,494158556,Success
0x21acf70295387140dfb8269a16f70e0d8e4ba3778f2b8620d4cfc98a40c9f605,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x957136df42c398c7279483e7dfdd110ba6019414,0.00498,21305,20028000,1786636469,494158254,Success
0x06b9fe00cb3edef53b647a35ca51bba08a284ea3bffa0364015887672b249b2d,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x80b7fca40882d214a625ff936b70860ca9a035e9,0.01098,21304,20046000,1786636400,494157981,Success
0x93a52a3661d7d6615dd35a15e0b0bd2c483dd731cea5807ecdf26fa6b43dcc62,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x255ba8bf4ed2b19b50f276751169c8fed1dcefe8,0.01098,21338,20018000,1786636254,494157397,Success
0x1fe88ee880a47549455d30019975cc6803573bf852ebcfea35f1b9d6f3eeb73b,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xf08e0aed7f19d0b01e55c4d37b3c1813f704a192,0.01098,21337,20026000,1786636124,494156880,Success
0x7d835f782f2c91a1f8937e28937d111e0923cfa3dda5c4f91da9f722e934509a,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x51439f258bccddbbdff78634cca0c5dc4cc9117a,0.01138,21338,20014000,1786635988,494156337,Success
0x5078df43d7c04ec2cdca3f1011ee445d0a204ca1ac37f7b6324ba0e7be6d3f92,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x5eb0e562fd18674987a841de2f708fb1693e51ce,0.00079659,21312,20040000,1786635870,494155864,Success
0x4cf5ecae365e97053c349737afaaa30972d1ae061597ca0c1bf49250349f9865,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xaff57e2798694355142c4b69287cd3044bd69f6b,0.00968,21312,20000000,1786635805,494155603,Success
0xfc9ec56e8cc16bf61d577509b194f46143b6eb44e926713e46cedc31918b6cfa,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x3cf516113fc58079005ab3a677ba03ecc82c9a58,0.00522007,21367,20000000,1786635761,494155427,Success
0x3f2da5aadbca0937e078b690959a07e1f0711f9fe754e631b5dc0bb3c1e005bb,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x7110132134192af5164341a0051c903f03b58377,0.00978,21311,20062000,1786635687,494155131,Success
0x3f3747801ff37897be3c92ed4f1d8b95c50660576f5d10ee60fb7362b7173ee9,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xa42a26a116e3a4921faa588b43a15774047ec33b,0.1016782,21150,20168000,1786635387,494153929,Success
0x2fd653a3e465611b28a9f7ca7b040a2ae303f550146ae15d5a7a96294b288e97,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x061a3b014d9065e361faff7eb302f5849b88496f,0.0061056,21331,20304000,1786634918,494152059,Success
0x1d8209a6a5263d0f5ab65d1b081b905696fc485bf66672e0a731e5a8748b1ad9,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x208a649f39767d012673844f30e6d81442e1852d,0.01198,21278,20000000,1786634603,494150797,Success
0xec826ae98c885f80291caade6563bf998369bdeb2d3dd40e4884c1f3584b6c3a,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xcb26eb233e352ad875be68292dba68cdf3510b24,0.00298,21274,20026000,1786634212,494149236,Success
0x50d1f36eaef489d3c1e84308fe40f14f61f8e665d323d2ceb3c1ebded43588e9,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x23c841e6dfee74c8e02dfb8a8cd08671d2b8c66e,0.00198,21281,20014000,1786633500,494146388,Success
0xdedd898b9bbeef5409355389422b68b271220dcf9082115bfb5eb0b09f6c095b,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x9a25cf70391f100c96276b20dd58e2e93a84c8c0,0.00081,21273,20636000,1786633268,494145462,Success
0x30ebf037651e1ce39c205e07c5aa55a38e735ccc1d5da50a939ad164ded7ec48,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x9bb0ca648c007e62e9e0288cc4c1d82b1e409344,0.00028,21264,20140000,1786632892,494143961,Success
0xb2901bd961c1adcde8d10ea2bf946c6f2b991e52330b2c25578865b595d6bce5,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x272851892a112967cd1f66822ff966f4bafb5055,0.5271523,21234,20094000,1786632423,494142082,Success
0x5ecf6a0588be51d47068706f2b613738eac21995cf27416fe8ba2a8953da74c6,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0x7069aa6072db19e7b932eae49c7e7c61c68acf74,0.00149936,26139,20020000,1786632082,494140725,Success
0xf6054b39f96a4798938073985b89ad97ff0ddc3e743974c4d534608b4d3ec255,Arbitrum,0xf92402bb795fd7cd08fb83839689db79099c8c9c,0xe61e583e9a54f4ebd4b12c639f6e55e437c685ab,0.0030772,21252,20146000,1786631861,494139836,Success
